timestamp,graph,task,speed,period_us,run,seconds,steal_s
2026-09-23T00:26:45,soc-sign-epinions.txt.gz,loop,1.0,4000,0,0.7357,0.02
2026-09-23T00:26:46,soc-sign-epinions.txt.gz,heavy,1.0,4000,0,0.7484,0.06
2026-09-23T00:26:47,soc-sign-epinions.txt.gz,mid,1.0,4000,0,0.9788,0.01
2026-09-23T00:26:48,soc-sign-epinions.txt.gz,light,1.0,4000,0,0.8856,0.03
2026-09-23T00:26:49,soc-sign-epinions.txt.gz,loop,0.75,4000,0,0.9362,0.02
2026-09-23T00:26:50,soc-sign-epinions.txt.gz,heavy,0.75,4000,0,0.9228,0.01
2026-09-23T00:26:51,soc-sign-epinions.txt.gz,mid,0.75,4000,0,1.3095,0.03
2026-09-23T00:26:52,soc-sign-epinions.txt.gz,light,0.75,4000,0,1.1945,0.03
2026-09-23T00:26:53,soc-sign-epinions.txt.gz,loop,0.5,4000,0,1.4226,0.02
2026-09-23T00:26:55,soc-sign-epinions.txt.gz,heavy,0.5,4000,0,1.4245,0.02
2026-09-23T00:26:57,soc-sign-epinions.txt.gz,mid,0.5,4000,0,2.0549,0.03
2026-09-23T00:26:59,soc-sign-epinions.txt.gz,light,0.5,4000,0,1.8907,0.02
2026-09-23T00:27:01,soc-sign-epinions.txt.gz,loop,0.43,4000,0,1.7387,0.04
2026-09-23T00:27:02,soc-sign-epinions.txt.gz,heavy,0.43,4000,0,1.7036,0.04
2026-09-23T00:27:05,soc-sign-epinions.txt.gz,mid,0.43,4000,0,2.3951,0.01
2026-09-23T00:27:07,soc-sign-epinions.txt.gz,light,0.43,4000,0,2.1226,0.04
2026-09-23T00:27:10,soc-sign-epinions.txt.gz,loop,0.26,4000,0,2.7679,0.02
2026-09-23T00:27:12,soc-sign-epinions.txt.gz,heavy,0.26,4000,0,2.8092,0.02
2026-09-23T00:27:16,soc-sign-epinions.txt.gz,mid,0.26,4000,0,4.0693,0.05
2026-09-23T00:27:20,soc-sign-epinions.txt.gz,light,0.26,4000,0,3.6766,0.02
2026-09-23T00:27:21,soc-sign-epinions.txt.gz,loop,1.0,4000,1,0.7733,0.06
2026-09-23T00:27:22,soc-sign-epinions.txt.gz,heavy,1.0,4000,1,0.7363,0.02
2026-09-23T00:27:23,soc-sign-epinions.txt.gz,mid,1.0,4000,1,0.9831,0.01
2026-09-23T00:27:24,soc-sign-epinions.txt.gz,light,1.0,4000,1,0.9628,0.09
2026-09-23T00:27:25,soc-sign-epinions.txt.gz,loop,0.75,4000,1,0.9561,0.02
2026-09-23T00:27:25,soc-sign-epinions.txt.gz,heavy,0.75,4000,1,0.9465,0.03
2026-09-23T00:27:27,soc-sign-epinions.txt.gz,mid,0.75,4000,1,1.3628,0.08
2026-09-23T00:27:28,soc-sign-epinions.txt.gz,light,0.75,4000,1,1.2041,0.06
2026-09-23T00:27:29,soc-sign-epinions.txt.gz,loop,0.5,4000,1,1.4054,0.04
2026-09-23T00:27:31,soc-sign-epinions.txt.gz,heavy,0.5,4000,1,1.3885,0.03
2026-09-23T00:27:33,soc-sign-epinions.txt.gz,mid,0.5,4000,1,1.9987,0.02
2026-09-23T00:27:35,soc-sign-epinions.txt.gz,light,0.5,4000,1,1.7846,0.01
2026-09-23T00:27:36,soc-sign-epinions.txt.gz,loop,0.43,4000,1,1.6496,0.01
2026-09-23T00:27:38,soc-sign-epinions.txt.gz,heavy,0.43,4000,1,1.6313,0.02
2026-09-23T00:27:40,soc-sign-epinions.txt.gz,mid,0.43,4000,1,2.3274,0.01
2026-09-23T00:27:42,soc-sign-epinions.txt.gz,light,0.43,4000,1,2.2253,0.08
2026-09-23T00:27:45,soc-sign-epinions.txt.gz,loop,0.26,4000,1,2.7543,0.02
2026-09-23T00:27:48,soc-sign-epinions.txt.gz,heavy,0.26,4000,1,2.8076,0.01
2026-09-23T00:27:52,soc-sign-epinions.txt.gz,mid,0.26,4000,1,4.0121,0.04
2026-09-23T00:27:56,soc-sign-epinions.txt.gz,light,0.26,4000,1,3.7047,0.02
2026-09-23T00:27:57,soc-sign-epinions.txt.gz,loop,1.0,4000,2,0.7758,0.01
2026-09-23T00:27:57,soc-sign-epinions.txt.gz,heavy,1.0,4000,2,0.6850,0.01
2026-09-23T00:27:58,soc-sign-epinions.txt.gz,mid,1.0,4000,2,0.9727,0.01
2026-09-23T00:27:59,soc-sign-epinions.txt.gz,light,1.0,4000,2,0.8864,0.06
2026-09-23T00:28:00,soc-sign-epinions.txt.gz,loop,0.75,4000,2,0.9736,0.00
2026-09-23T00:28:01,soc-sign-epinions.txt.gz,heavy,0.75,4000,2,0.9155,0.01
2026-09-23T00:28:02,soc-sign-epinions.txt.gz,mid,0.75,4000,2,1.3835,0.02
2026-09-23T00:28:04,soc-sign-epinions.txt.gz,light,0.75,4000,2,1.1916,0.03
2026-09-23T00:28:05,soc-sign-epinions.txt.gz,loop,0.5,4000,2,1.4793,0.01
2026-09-23T00:28:06,soc-sign-epinions.txt.gz,heavy,0.5,4000,2,1.3914,0.03
2026-09-23T00:28:08,soc-sign-epinions.txt.gz,mid,0.5,4000,2,1.9927,0.02
2026-09-23T00:28:10,soc-sign-epinions.txt.gz,light,0.5,4000,2,1.7654,0.01
2026-09-23T00:28:12,soc-sign-epinions.txt.gz,loop,0.43,4000,2,1.7500,0.07
2026-09-23T00:28:14,soc-sign-epinions.txt.gz,heavy,0.43,4000,2,1.6307,0.02
2026-09-23T00:28:16,soc-sign-epinions.txt.gz,mid,0.43,4000,2,2.3149,0.01
2026-09-23T00:28:18,soc-sign-epinions.txt.gz,light,0.43,4000,2,2.1287,0.06
2026-09-23T00:28:21,soc-sign-epinions.txt.gz,loop,0.26,4000,2,2.8961,0.03
2026-09-23T00:28:24,soc-sign-epinions.txt.gz,heavy,0.26,4000,2,2.8084,0.02
2026-09-23T00:28:28,soc-sign-epinions.txt.gz,mid,0.26,4000,2,4.0241,0.07
2026-09-23T00:28:32,soc-sign-epinions.txt.gz,light,0.26,4000,2,3.7527,0.05
