pos,vertex,degree,p_size,cliques,seconds
0,64582,0,0,1,6.905000191181898e-06
1,122880,1,1,1,1.654300285736099e-05
2,81934,1,1,1,5.923000571783632e-06
3,15,1,1,1,4.333000106271356e-06
4,17,1,1,1,3.559998731361702e-06
5,81942,1,1,1,3.64600055036135e-06
6,27,1,1,1,3.6030032788403332e-06
7,122909,1,1,1,3.130000550299883e-06
8,98343,1,1,1,2.845001290552318e-06
9,90649,1,0,0,2.1230007405392826e-06
10,73785,1,1,1,3.5909979487769306e-06
11,16446,1,1,1,3.0319970392156392e-06
12,81,1,1,1,3.2429998100269586e-06
13,98533,1,0,0,2.101001882692799e-06
14,65628,1,1,1,3.1240015232469887e-06
15,97,1,1,1,5.081001290818676e-06
16,86524,1,0,0,1.7089987522922456e-06
17,16481,1,1,1,2.848999429261312e-06
18,93986,1,0,0,1.89200000022538e-06
19,82020,1,1,1,2.668002707650885e-06
20,24677,1,1,1,2.950000634882599e-06
21,8304,1,1,1,3.0519986466970295e-06
22,122996,1,1,1,2.993001544382423e-06
23,24702,1,1,1,3.360000846441835e-06
24,114818,1,1,1,2.7750029403250664e-06
25,120799,1,0,0,1.9409999367780983e-06
26,106637,1,1,1,3.05399953504093e-06
27,16541,1,1,1,2.782002411549911e-06
28,8350,1,1,1,2.921999112004414e-06
29,8351,1,1,1,2.930999471573159e-06
30,70951,1,0,0,1.805998181225732e-06
31,123049,1,1,1,2.9519978852476925e-06
32,123050,1,1,1,2.3659995349589735e-06
33,128975,1,0,0,2.077002136502415e-06
34,73901,1,1,1,4.5000015234109014e-06
35,73906,1,1,1,2.9859984351787716e-06
36,179,1,1,1,2.8240028768777847e-06
37,41141,1,1,1,2.697001036722213e-06
38,32017,1,0,0,1.924996468005702e-06
39,24761,1,1,1,3.3750002330634743e-06
40,106704,1,1,1,1.9934999727411196e-05
41,49361,1,1,1,3.059001755900681e-06
42,231,1,1,1,2.5149965949822217e-06
43,41207,1,1,1,3.0749979487154633e-06
44,24835,1,1,1,3.0379997042473406e-06
45,663,1,0,0,1.7130005289800465e-06
46,8462,1,1,1,3.09200186165981e-06
47,131343,1,1,1,2.6660018193069845e-06
48,57990,1,0,0,1.9270009943284094e-06
49,277,1,1,1,2.878001396311447e-06
50,98588,1,1,1,2.6669986255001277e-06
51,90413,1,1,1,3.0199989851098508e-06
52,303,1,1,1,3.158998879371211e-06
53,114995,1,1,1,2.634002157719806e-06
54,321,1,1,1,2.9240000003483146e-06
55,90439,1,1,1,3.264001861680299e-06
56,115017,1,1,1,3.077999281231314e-06
57,335,1,1,1,3.5118999221595004e-05
58,131410,1,1,1,5.322999641066417e-06
59,131414,1,1,1,3.959998139180243e-06
60,16727,1,1,1,3.597000613808632e-06
61,119548,1,0,0,2.0090010366402566e-06
62,41302,1,1,1,3.158998879371211e-06
63,82267,1,1,1,2.583001332823187e-06
64,74081,1,1,1,2.61999957729131e-06
65,123235,1,1,1,2.3229986254591495e-06
66,90467,1,1,1,2.1039995772298425e-06
67,26304,1,0,0,1.5309997252188623e-06
68,123240,1,1,1,2.405999111942947e-06
69,8554,1,1,1,2.554999809945002e-06
70,33131,1,1,1,2.6420020731166005e-06
71,106867,1,1,1,2.7569985832087696e-06
72,90486,1,1,1,2.449000021442771e-06
73,82296,1,1,1,2.0900006347801536e-06
74,115065,1,1,1,2.0659972506109625e-06
75,106886,1,1,1,2.2120002540759742e-06
76,41358,1,1,1,2.363998646615073e-06
77,16793,1,1,1,2.4419969122391194e-06
78,57773,1,1,1,2.2239983081817627e-06
79,20497,1,0,0,1.4479992387350649e-06
80,33203,1,1,1,2.449996827635914e-06
81,115125,1,1,1,2.3909997253213078e-06
82,131521,1,1,1,2.6029993023257703e-06
83,62845,1,0,0,1.514999894425273e-06
84,41419,1,1,1,2.564000169513747e-06
85,41421,1,1,1,2.2929998522158712e-06
86,41428,1,1,1,2.4459986889269203e-06
87,498,1,1,1,2.253000275231898e-06
88,501,2,1,1,2.977998519781977e-06
89,66039,1,1,1,2.4379987735301256e-06
90,107005,1,1,1,2.472002961440012e-06
91,90632,1,1,1,2.4459986889269203e-06
92,107020,1,1,1,2.445001882733777e-06
93,9811,1,0,0,1.534997863927856e-06
94,66061,1,1,1,2.3840002540964633e-06
95,107027,1,1,1,2.7759997465182096e-06
96,8745,1,1,1,2.297001628903672e-06
97,82484,1,1,1,2.210999809904024e-06
98,35155,1,0,0,1.529002474853769e-06
99,74306,1,1,1,2.310000127181411e-06
100,42898,1,0,0,1.4920005924068391e-06
101,131652,1,1,1,2.18800050788559e-06
102,48649,1,0,0,1.372001861454919e-06
103,49742,1,1,1,2.5569970603100955e-06
104,602,2,1,1,2.91700052912347e-06
105,34947,1,0,0,1.4830002328380942e-06
106,17003,1,1,1,2.7460009732749313e-06
107,66159,1,1,1,2.607001079013571e-06
108,101007,1,0,0,1.534001057734713e-06
109,624,1,1,1,2.1650012058671564e-06
110,43996,1,0,0,1.534997863927856e-06
111,636,1,1,1,2.359000063734129e-06
112,131714,1,1,1,2.4659966584295034e-06
113,79298,1,0,0,1.453998265787959e-06
114,98947,1,1,1,2.5599983928259462e-06
115,82563,1,1,1,2.553999365773052e-06
116,115336,1,1,1,1.996999344555661e-06
117,130329,1,0,0,1.3469980331137776e-06
118,41611,1,1,1,2.511998900445178e-06
119,115345,1,1,1,2.300999767612666e-06
120,33430,1,1,1,2.4470027710776776e-06
121,25246,1,1,1,2.52000245382078e-06
122,123552,1,1,1,2.2839994926471263e-06
123,90816,1,1,1,2.043001586571336e-06
124,58051,1,1,1,2.3039974621497095e-06
125,109606,1,0,0,1.3830031093675643e-06
126,41669,1,1,1,2.616001438582316e-06
127,123604,1,1,1,2.5909976102411747e-06
128,725,1,1,1,1.8280006770510226e-06
129,58069,1,1,1,2.0709994714707136e-06
130,58080,1,1,1,2.405999111942947e-06
131,82658,1,1,1,2.4000000848900527e-06
132,115436,1,1,1,2.426000719424337e-06
133,748,1,1,1,2.6799971237778664e-06
134,115438,1,1,1,2.3219981812871993e-06
135,33528,1,1,1,2.5190020096488297e-06
136,28302,1,0,0,1.4879988157190382e-06
137,17147,1,1,1,2.2799977159593254e-06
138,131850,1,1,1,2.3280008463189006e-06
139,82705,1,1,1,2.243999915663153e-06
140,8979,1,1,1,2.3089996830094606e-06
141,131861,1,1,1,2.4990004021674395e-06
142,123672,1,1,1,2.2099993657320738e-06
143,113251,1,0,0,1.5700024960096925e-06
144,66351,1,1,1,2.0039988157805055e-06
145,17204,1,1,1,2.597000275272876e-06
146,25401,1,1,1,2.4420005502179265e-06
147,115519,1,1,1,2.3799984774086624e-06
148,82752,1,1,1,2.5760018615983427e-06
149,41802,1,1,1,2.501998096704483e-06
150,115544,1,1,1,2.0619991119019687e-06
151,124353,1,0,0,1.45800004247576e-06
152,115545,1,1,1,2.487999154254794e-06
153,50011,1,1,1,2.2669992176815867e-06
154,90972,1,1,1,2.3190004867501557e-06
155,99180,1,1,1,2.3120010155253112e-06
156,123764,1,1,1,2.2459971660282463e-06
157,82804,1,1,1,2.444001438561827e-06
158,94561,1,0,0,1.4730030670762062e-06
159,17268,1,1,1,2.354998287046328e-06
160,89813,1,0,0,1.4619981811847538e-06
161,91008,1,1,1,2.097000106004998e-06
162,897,1,1,1,4.347002686699852e-06
163,17290,1,1,1,2.6749985408969223e-06
164,123788,1,1,1,2.16899934457615e-06
165,25485,1,1,1,2.382999809924513e-06
166,25487,1,1,1,2.381999365752563e-06
167,123792,1,1,1,2.1900013962294906e-06
168,33687,1,1,1,2.2659987735096365e-06
169,28894,1,0,0,1.3360004231799394e-06
170,123800,1,1,1,2.258999302284792e-06
171,82847,1,1,1,2.7610003598965704e-06
172,25508,1,1,1,2.071999915642664e-06
173,54067,1,0,0,1.4809993444941938e-06
174,99245,1,1,1,2.2620006348006427e-06
175,88729,1,0,0,1.462998625356704e-06
176,50098,1,1,1,3.7720019463449717e-06
177,11153,1,0,0,1.5480000001844019e-06
178,132024,1,1,1,2.4950022634584457e-06
179,123835,1,1,1,2.544999006204307e-06
180,82888,1,1,1,2.5030021788552403e-06
181,25544,1,1,1,2.5129993446171284e-06
182,107467,1,1,1,2.595999831100926e-06
183,25551,1,1,1,2.130000211764127e-06
184,33752,1,1,1,2.302000211784616e-06
185,41947,1,1,1,2.548997144913301e-06
186,115676,1,1,1,2.405999111942947e-06
187,123879,1,1,1,2.1359992388170213e-06
188,66539,1,1,1,2.1800005924887955e-06
189,66556,1,1,1,2.1619998733513057e-06
190,66557,1,0,0,1.4880024536978453e-06
191,132106,1,1,1,2.4180008040275425e-06
192,115733,1,1,1,2.848999429261312e-06
193,25623,1,1,1,2.2800013539381325e-06
194,45104,1,0,0,1.510001311544329e-06
195,115741,1,1,1,2.28699718718417e-06
196,17438,1,1,1,2.434000634821132e-06
197,17442,1,1,1,2.3030006559565663e-06
198,91187,1,1,1,2.486998710082844e-06
199,50245,1,1,1,2.9669972718693316e-06
200,50251,1,1,1,2.425000275252387e-06
201,83022,1,1,1,2.1999985619913787e-06
202,42072,1,1,1,2.2419990273192525e-06
203,50266,1,1,1,2.3510001483373344e-06
204,17501,1,1,1,2.1599989850074053e-06
205,23894,1,0,0,1.5229998098220676e-06
206,1120,1,1,1,2.1810010366607457e-06
207,42081,1,1,1,2.3799984774086624e-06
208,91233,1,1,1,2.329001290490851e-06
209,50280,1,1,1,2.2700005501974374e-06
210,91247,1,1,1,2.2130006982479244e-06
211,91254,1,1,1,2.349002897972241e-06
212,99450,1,1,1,2.333999873371795e-06
213,58491,1,1,1,2.3899992811493576e-06
214,66686,1,1,1,2.2179992811288685e-06
215,24141,1,0,0,1.5639998309779912e-06
216,25736,1,1,1,2.2269996406976134e-06
217,107658,1,1,1,2.281998604303226e-06
218,99468,1,1,1,2.4880027922336012e-06
219,25741,1,1,1,2.625001798151061e-06
220,83092,1,1,1,2.3320026230067015e-06
221,66725,1,1,1,2.2330023057293147e-06
222,91313,1,1,1,2.3180000425782055e-06
223,117363,1,0,0,1.3039971236139536e-06
224,107705,1,1,1,2.4280016077682376e-06
225,107716,1,1,1,2.0459992811083794e-06
226,83161,1,1,1,2.648997906362638e-06
227,34012,1,1,1,2.2669992176815867e-06
228,91703,1,0,0,1.4620018191635609e-06
229,25833,1,1,1,2.3379980120807886e-06
230,42224,1,1,1,2.5789995561353862e-06
231,124144,1,1,1,2.554999809945002e-06
232,58654,1,0,0,1.3899989426136017e-06
233,99570,1,1,1,2.282002242282033e-06
234,99572,1,1,1,2.38200300373137e-06
235,115964,1,1,1,2.3649990907870233e-06
236,115965,1,1,1,2.082000719383359e-06
237,91408,1,1,1,2.1850028133485466e-06
238,115987,1,1,1,2.696000592550263e-06
239,34067,1,1,1,2.6529996830504388e-06
240,58648,1,1,1,2.1619998733513057e-06
241,75038,1,1,1,2.7480018616188318e-06
242,75040,1,1,1,2.081997081404552e-06
243,9504,1,1,1,2.053002390312031e-06
244,99627,1,1,1,2.435997885186225e-06
245,75066,1,1,1,1.9129984138999134e-06
246,42310,1,1,1,2.230997779406607e-06
