pos,vertex,degree,p_size,cliques,seconds
0,64582,0,0,1,2.273001882713288e-06
1,122880,1,1,1,1.7738002497935668e-05
2,81934,1,1,1,6.195001333253458e-06
3,15,1,1,1,3.740002284757793e-06
4,17,1,1,1,3.1669987947680056e-06
5,81942,1,1,1,3.5570010368246585e-06
6,27,1,1,1,3.0139999580569565e-06
7,122909,1,1,1,2.9130023904144764e-06
8,98343,1,1,1,2.415999915683642e-06
9,90649,1,0,0,1.6399972082581371e-06
10,73785,1,1,1,3.3890028134919703e-06
11,16446,1,1,1,2.559001586632803e-06
12,81,1,1,1,2.8989998099859804e-06
13,98533,1,0,0,1.77200126927346e-06
14,65628,1,1,1,3.016000846400857e-06
15,97,1,1,1,2.402000973233953e-06
16,86524,1,0,0,1.5590012480970472e-06
17,16481,1,1,1,2.802000381052494e-06
18,93986,1,0,0,1.5859986888244748e-06
19,82020,1,1,1,2.386997948633507e-06
20,24677,1,1,1,2.958000550279394e-06
21,8304,1,1,1,2.8510003176052123e-06
22,122996,1,1,1,2.791999577311799e-06
23,24702,1,1,1,2.710999979171902e-06
24,114818,1,1,1,2.3760003386996686e-06
25,120799,1,0,0,1.5110017557162791e-06
26,106637,1,1,1,2.7999994927085936e-06
27,16541,1,1,1,2.5699991965666413e-06
28,8350,1,1,1,2.6519992388784885e-06
29,8351,1,1,1,2.6029993023257703e-06
30,70951,1,0,0,1.3490025594364852e-06
31,123049,1,1,1,2.6899979275185615e-06
32,123050,1,1,1,2.2839994926471263e-06
33,128975,1,0,0,1.5559999155811965e-06
34,73901,1,1,1,2.6400011847727e-06
35,73906,1,1,1,2.712000423343852e-06
36,179,1,1,1,4.1719977161847055e-06
37,41141,1,1,1,2.3360007617156953e-06
38,32017,1,0,0,1.571999746374786e-06
39,24761,1,1,1,2.6930028980132192e-06
40,106704,1,1,1,2.7419991965871304e-06
41,49361,1,1,1,2.5659974198788404e-06
42,231,1,1,1,2.7710011636372656e-06
43,41207,1,1,1,2.4859982659108937e-06
44,24835,1,1,1,4.937002813676372e-06
45,663,1,0,0,1.4800025383010507e-06
46,8462,1,1,1,2.863998815882951e-06
47,131343,1,1,1,2.2849999368190765e-06
48,57990,1,0,0,1.3810022210236639e-06
49,277,1,1,1,2.267999661853537e-06
50,98588,1,1,1,2.712000423343852e-06
51,90413,1,1,1,2.7460009732749313e-06
52,303,1,1,1,2.526001480873674e-06
53,114995,1,1,1,2.458000381011516e-06
54,321,1,1,1,2.414999471511692e-06
55,90439,1,1,1,2.6369998522568494e-06
56,115017,1,1,1,2.5130029825959355e-06
57,335,1,1,1,2.3560023691970855e-06
58,131410,1,1,1,2.438999217702076e-06
59,131414,1,1,1,2.410000888630748e-06
60,16727,1,1,1,2.3890024749562144e-06
61,119548,1,0,0,1.3589997251983732e-06
62,41302,1,1,1,2.6429988793097436e-06
63,82267,1,1,1,2.091001078952104e-06
64,74081,1,1,1,2.644999767653644e-06
65,123235,1,1,1,2.492000930942595e-06
66,90467,1,1,1,2.077998942695558e-06
67,26304,1,0,0,1.4809993444941938e-06
68,123240,1,1,1,2.4470027710776776e-06
69,8554,1,1,1,2.672997652553022e-06
70,33131,1,1,1,2.7480018616188318e-06
71,106867,1,1,1,2.414999471511692e-06
72,90486,1,1,1,2.4509972718078643e-06
73,82296,1,1,1,2.2509993868879974e-06
74,115065,1,1,1,2.2759995772503316e-06
75,106886,1,1,1,2.278000465594232e-06
76,41358,1,1,1,2.4820001272019e-06
77,16793,1,1,1,2.435997885186225e-06
78,57773,1,1,1,2.1740015654359013e-06
79,20497,1,0,0,1.4159995771478862e-06
80,33203,1,1,1,2.516000677132979e-06
81,115125,1,1,1,2.4750006559770554e-06
82,131521,1,1,1,2.4990004021674395e-06
83,62845,1,0,0,1.4229990483727306e-06
84,41419,1,1,1,2.3850006982684135e-06
85,41421,1,1,1,2.668999513844028e-06
86,41428,1,1,1,2.5429981178604066e-06
87,498,1,1,1,2.429998858133331e-06
88,501,2,1,1,2.9889997676946223e-06
89,66039,1,1,1,2.333999873371795e-06
90,107005,1,1,1,2.395998308202252e-06
91,90632,1,1,1,2.4090004444587976e-06
92,107020,1,1,1,2.7149981178808957e-06
93,9811,1,0,0,1.4430006558541209e-06
94,66061,1,1,1,2.3989996407181025e-06
95,107027,1,1,1,2.863002009689808e-06
96,8745,1,1,1,2.5279987312387675e-06
97,82484,1,1,1,2.0999978005420417e-06
98,35155,1,0,0,1.2540003808680922e-06
99,74306,1,1,1,2.5170011213049293e-06
100,42898,1,0,0,1.3479984772857279e-06
101,131652,1,1,1,2.1650012058671564e-06
102,48649,1,0,0,1.1880001693498343e-06
103,49742,1,1,1,2.510001650080085e-06
104,602,2,1,1,2.5029985408764333e-06
105,34947,1,0,0,1.410000550094992e-06
106,17003,1,1,1,2.7040005079470575e-06
107,66159,1,1,1,2.663000486791134e-06
108,101007,1,0,0,1.3229982869233936e-06
109,624,1,1,1,2.2239983081817627e-06
110,43996,1,0,0,1.4640027075074613e-06
111,636,1,1,1,2.6620000426191837e-06
112,131714,1,1,1,2.320000930922106e-06
113,79298,1,0,0,1.2470009096432477e-06
114,98947,1,1,1,2.3519969545304775e-06
115,82563,1,1,1,3.0379997042473406e-06
116,115336,1,1,1,1.9690014596562833e-06
117,130329,1,0,0,1.2509990483522415e-06
118,41611,1,1,1,2.8290014597587287e-06
119,115345,1,1,1,2.220000169472769e-06
120,33430,1,1,1,2.3430002329405397e-06
121,25246,1,1,1,2.8480026230681688e-06
122,123552,1,1,1,2.5090012059081346e-06
123,90816,1,1,1,2.0320003386586905e-06
124,58051,1,1,1,2.3899992811493576e-06
125,109606,1,0,0,1.3349999790079892e-06
126,41669,1,1,1,2.487002348061651e-06
127,123604,1,1,1,2.449000021442771e-06
128,725,1,1,1,1.9430008251219988e-06
129,58069,1,1,1,2.18700006371364e-06
130,58080,1,1,1,2.0849984139204025e-06
131,82658,1,1,1,2.534001396270469e-06
132,115436,1,1,1,2.582000888651237e-06
133,748,1,1,1,2.4900000425986946e-06
134,115438,1,1,1,2.3740030883345753e-06
135,33528,1,1,1,2.5140034267678857e-06
136,28302,1,0,0,1.424999936716631e-06
137,17147,1,1,1,2.5510016712360084e-06
138,131850,1,1,1,2.7460009732749313e-06
139,82705,1,1,1,2.1679989004042e-06
140,8979,1,1,1,2.2599997464567423e-06
141,131861,1,1,1,2.500997652532533e-06
142,123672,1,1,1,2.215998392784968e-06
143,113251,1,0,0,1.390999386785552e-06
144,66351,1,1,1,1.8979990272782743e-06
145,17204,1,1,1,2.5810004444792867e-06
146,25401,1,1,1,6.632999429712072e-06
147,115519,1,1,1,3.5800003388430923e-06
148,82752,1,1,1,3.4059994504787028e-06
149,41802,1,1,1,2.6790003175847232e-06
