pos,vertex,degree,p_size,cliques,seconds
0,40263,0,0,1,7.085000106599182e-06
1,23799,0,0,1,1.6849990061018616e-06
2,1,1,1,1,1.2578999303514138e-05
3,81928,1,1,1,4.998997610528022e-06
4,11,1,1,1,4.050998541060835e-06
5,24590,1,1,1,2.7280002541374415e-06
6,16412,1,1,1,2.89799936581403e-06
7,29,1,1,1,2.591998054413125e-06
8,32801,1,1,1,2.505999873392284e-06
9,24639,1,1,1,2.2959975467529148e-06
10,57411,1,1,1,2.630997187225148e-06
11,69,1,1,1,2.2710009943693876e-06
12,84929,1,0,0,1.9939980120398104e-06
13,8264,1,1,1,2.91700052912347e-06
14,57422,1,1,1,2.754000888671726e-06
15,81999,1,1,1,2.634002157719806e-06
16,73808,1,1,1,4.522000381257385e-06
17,57425,1,1,1,2.7749993023462594e-06
18,73816,1,1,1,2.4039982235990465e-06
19,41051,1,1,1,2.7330024749971926e-06
20,49254,1,1,1,2.1859996195416898e-06
21,24682,1,1,1,2.7319983928464353e-06
22,33925,1,0,0,1.525000698165968e-06
23,32888,1,1,1,3.7190002331044525e-06
24,32894,1,1,1,2.492997737135738e-06
25,32896,1,1,1,2.6179986889474094e-06
26,65669,1,1,1,2.3719985620118678e-06
27,134,1,1,1,2.0179977582301944e-06
28,16517,1,1,1,2.278997271787375e-06
29,34629,1,0,0,1.4080032997298986e-06
30,65674,1,1,1,2.1460000425577164e-06
31,4779,1,0,0,1.538999640615657e-06
32,140,1,1,1,1.9279978005215526e-06
33,32908,1,1,1,2.4550026864744723e-06
34,82065,1,1,1,2.3520005925092846e-06
35,146,1,1,1,1.8190003174822778e-06
36,16544,1,1,1,2.245000359835103e-06
37,8370,1,1,1,2.5529989216011018e-06
38,73911,1,1,1,2.492000930942595e-06
39,16219,1,0,0,1.424999936716631e-06
40,73914,1,1,1,2.2669992176815867e-06
41,73915,1,1,1,2.4279979697894305e-06
42,32955,1,1,1,2.325999957975e-06
43,16588,1,1,1,2.3120010155253112e-06
44,80302,1,0,0,1.3970020518172532e-06
45,16589,1,1,1,1.9430008251219988e-06
46,82126,1,1,1,2.134998794645071e-06
47,73935,1,1,1,2.1849991753697395e-06
48,73936,1,1,1,2.4319997464772314e-06
49,24784,1,1,1,2.4000000848900527e-06
50,41169,1,1,1,2.1320011001080275e-06
51,75641,1,0,0,1.410000550094992e-06
52,82127,1,1,1,2.3889988369774073e-06
53,82125,1,1,1,1.944001269293949e-06
54,52744,1,0,0,1.448999682907015e-06
55,8410,1,1,1,2.2239983081817627e-06
56,218,1,1,1,2.6029993023257703e-06
57,228,1,1,1,2.3220018192660064e-06
58,33007,1,1,1,2.086999302264303e-06
59,65776,1,1,1,2.9289985832292587e-06
60,73969,1,1,1,2.24300310947001e-06
61,82166,1,1,1,2.1659980120602995e-06
62,56373,1,0,0,1.4600009308196604e-06
63,65786,1,1,1,2.177999704144895e-06
