pos,vertex,degree,p_size,cliques,seconds
0,40263,0,0,1,2.689999746507965e-06
1,23799,0,0,1,9.420000424142927e-07
2,1,1,1,1,1.3870000657334458e-05
3,81928,1,1,1,4.9150003178510815e-06
4,11,1,1,1,4.008999894722365e-06
5,24590,1,1,1,2.924999535025563e-06
6,16412,1,1,1,2.9169996196287684e-06
7,29,1,1,1,3.068999831157271e-06
8,32801,1,1,1,2.529999619582668e-06
9,24639,1,1,1,2.1879995983908884e-06
10,57411,1,1,1,2.556999788794201e-06
11,69,1,1,1,2.6950001483783126e-06
12,84929,1,0,0,1.8400005501462147e-06
13,8264,1,1,1,2.809999386954587e-06
14,57422,1,1,1,2.9029997676843777e-06
15,81999,1,1,1,2.507000317564234e-06
16,73808,1,1,1,2.409999979136046e-06
17,57425,1,1,1,2.5019999156938866e-06
18,73816,1,1,1,2.6369998522568494e-06
19,41051,1,1,1,3.448999450483825e-06
20,49254,1,1,1,2.3479997253161855e-06
21,24682,1,1,1,2.7160003810422495e-06
22,33925,1,0,0,1.4929992175893858e-06
23,32888,1,1,1,3.013000423379708e-06
24,32894,1,1,1,4.999000339012127e-06
25,32896,1,1,1,2.666000000317581e-06
26,65669,1,1,1,2.3840002540964633e-06
27,134,1,1,1,2.133000634785276e-06
28,16517,1,1,1,2.3789998522261158e-06
29,34629,1,0,0,1.4179995559970848e-06
30,65674,1,1,1,2.29600027523702e-06
31,4779,1,0,0,1.5249997886712663e-06
32,140,1,1,1,2.0669995137723163e-06
33,32908,1,1,1,2.663000486791134e-06
34,82065,1,1,1,2.62100002146326e-06
35,146,1,1,1,1.9930002963519655e-06
36,16544,1,1,1,2.5709996407385916e-06
37,8370,1,1,1,2.632999894558452e-06
38,73911,1,1,1,2.9060001907055266e-06
39,16219,1,0,0,1.5670002539991401e-06
40,73914,1,1,1,2.4480004867655225e-06
41,73915,1,1,1,2.8160002329968847e-06
42,32955,1,1,1,2.2469994291896e-06
43,16588,1,1,1,2.4230002964031883e-06
44,80302,1,0,0,1.4110000847722404e-06
45,16589,1,1,1,2.1699997887481004e-06
46,82126,1,1,1,2.309999217686709e-06
47,73935,1,1,1,2.3909997253213078e-06
48,73936,1,1,1,2.4420005502179265e-06
49,24784,1,1,1,2.4050004867604002e-06
50,41169,1,1,1,2.2989997887634672e-06
51,75641,1,0,0,1.4900006135576405e-06
52,82127,1,1,1,2.443000084895175e-06
53,82125,1,1,1,2.1730002117692493e-06
54,52744,1,0,0,2.7860005502589047e-06
55,8410,1,1,1,2.6910001906799152e-06
56,218,1,1,1,2.526999196561519e-06
57,228,1,1,1,2.5109993657679297e-06
58,33007,1,1,1,2.151000444428064e-06
59,65776,1,1,1,2.7509995561558753e-06
60,73969,1,1,1,2.5900008040480316e-06
61,82166,1,1,1,2.323000444448553e-06
62,56373,1,0,0,1.419000000169035e-06
