pos,vertex,degree,p_size,cliques,seconds
0,129024,0,0,1,3.0339999739226187e-06
1,129537,0,0,1,9.699999736767495e-07
2,113666,0,0,1,3.6799997360503767e-07
3,114690,0,0,1,2.2700010049447883e-07
4,95238,0,0,1,2.3400002646667417e-07
5,128013,0,0,1,2.439999207126675e-07
6,124942,0,0,1,2.290000793436775e-07
7,126990,0,0,1,2.700001004996011e-07
8,122384,0,0,1,2.1500000002561137e-07
9,125456,0,0,1,2.1800019567308482e-07
10,95250,0,0,1,1.9200001588615123e-07
11,126482,0,0,1,2.760000370471971e-07
12,126995,0,0,1,2.1100004232721403e-07
13,127504,0,0,1,2.0900006347801536e-07
14,131603,0,0,1,2.6099996830453165e-07
15,131604,0,0,1,2.1500000002561137e-07
16,98330,0,0,1,3.2699995244911406e-07
17,116766,0,0,1,1.9000003703695256e-07
18,121886,0,0,1,2.189999577240087e-07
19,107552,0,0,1,2.1100004232721403e-07
20,124962,0,0,1,2.219999259978067e-07
21,121892,0,0,1,2.1370001377363224e-06
22,120869,0,0,1,2.0799984667974059e-07
23,117287,0,0,1,2.2099993657320738e-07
24,107561,0,0,1,1.999999312829459e-07
25,79403,0,0,1,1.9499998415994924e-07
26,128045,0,0,1,2.1200003175181337e-07
27,119855,0,0,1,2.159999894502107e-07
28,123953,0,0,1,2.6099996830453165e-07
29,102450,0,0,1,2.1699997887481004e-07
30,94259,0,0,1,1.9200001588615123e-07
31,129076,0,0,1,2.6900011107500177e-07
32,98873,0,0,1,1.9499998415994924e-07
33,96314,0,0,1,2.0999982552893925e-07
34,95291,0,0,1,2.6200018510280643e-07
35,111678,0,0,1,1.939999947353499e-07
36,129599,0,0,1,2.0900006347801536e-07
37,100416,0,0,1,2.3400002646667417e-07
38,118337,0,0,1,1.9499998415994924e-07
39,124994,0,0,1,1.9300000531075057e-07
40,127043,0,0,1,2.1200003175181337e-07
41,129092,0,0,1,2.0199991013214458e-07
42,124997,0,0,1,1.9499998415994924e-07
43,128069,0,0,1,2.0900006347801536e-07
44,97870,0,0,1,2.130000211764127e-07
45,95313,0,0,1,1.939999947353499e-07
46,128594,0,0,1,2.0600009520421736e-07
47,109139,0,0,1,2.629999471537303e-07
48,104020,0,0,1,2.290000793436775e-07
49,124501,0,0,1,2.130000211764127e-07
50,94294,0,0,1,2.1200003175181337e-07
51,129108,0,0,1,1.9900016923202202e-07
52,118875,0,0,1,1.9300000531075057e-07
53,117346,0,0,1,2.750000476225978e-07
54,120931,0,0,1,1.999999312829459e-07
55,125539,0,0,1,2.0499987840594258e-07
56,125543,0,0,1,2.1500000002561137e-07
57,119913,0,0,1,1.9899994185834657e-07
58,124522,0,0,1,2.2499989427160472e-07
59,128107,0,0,1,2.0099992070754524e-07
60,98418,0,0,1,1.9300000531075057e-07
61,107124,0,0,1,1.9700019038282335e-07
62,96373,0,0,1,2.290000793436775e-07
63,131193,0,0,1,1.9799995243374724e-07
64,129147,0,0,1,1.9499998415994924e-07
65,130687,0,0,1,2.2599988369620405e-07
66,106625,0,0,1,2.760000370471971e-07
67,129153,0,0,1,2.1299979380273726e-07
68,126596,0,0,1,2.1100004232721403e-07
69,127620,0,0,1,2.0500010577961802e-07
70,120966,0,0,1,2.1100004232721403e-07
71,33927,0,0,1,2.0800007405341603e-07
72,106631,0,0,1,2.1200003175181337e-07
73,124550,0,0,1,2.0200013750582002e-07
74,129674,0,0,1,2.0599986783054192e-07
75,125579,0,0,1,1.9799995243374724e-07
76,126091,0,0,1,2.1500000002561137e-07
77,130181,0,0,1,2.2099993657320738e-07
78,104590,0,0,1,1.9200001588615123e-07
79,129679,0,0,1,1.6099988897622097e-07
80,107664,0,0,1,1.6100011634989642e-07
