pos,vertex,degree,p_size,cliques,seconds
0,64582,0,0,1,6.669943104498088e-07
1,122880,1,1,1,7.624999852851033e-06
2,81934,1,1,1,2.625005436129868e-06
3,15,1,1,1,1.624997821636498e-06
4,17,1,1,1,1.4170000213198364e-06
5,81942,1,1,1,2.1669984562322497e-06
6,27,1,1,1,1.3329990906640887e-06
7,122909,1,1,1,1.0839939932338893e-06
8,98343,1,1,1,9.169962140731514e-07
9,90649,1,0,0,7.080016075633466e-07
10,73785,1,1,1,1.3329990906640887e-06
11,16446,1,1,1,9.590003173798323e-07
12,81,1,1,1,1.2499949662014842e-06
13,98533,1,0,0,7.500057108700275e-07
14,65628,1,1,1,1.1660013115033507e-06
15,97,1,1,1,9.159994078800082e-07
16,86524,1,0,0,5.420006345957518e-07
17,16481,1,1,1,8.749993867240846e-07
18,93986,1,0,0,6.249974831007421e-07
19,82020,1,1,1,8.749993867240846e-07
20,24677,1,1,1,8.33999365568161e-07
21,8304,1,1,1,1.3329990906640887e-06
22,122996,1,1,1,1.0419971658848226e-06
23,24702,1,1,1,8.749993867240846e-07
24,114818,1,1,1,7.920025382190943e-07
25,120799,1,0,0,5.420006345957518e-07
26,106637,1,1,1,1.0000003385357559e-06
27,16541,1,1,1,9.170034900307655e-07
28,8350,1,1,1,9.590003173798323e-07
29,8351,1,1,1,1.0000003385357559e-06
30,70951,1,0,0,5.409965524449944e-07
31,123049,1,1,1,1.0000003385357559e-06
32,123050,1,1,1,7.499984349124134e-07
33,128975,1,0,0,5.830006557516754e-07
34,73901,1,1,1,1.0410003596916795e-06
35,73906,1,1,1,8.749993867240846e-07
36,179,1,1,1,8.749993867240846e-07
37,41141,1,1,1,7.919952622614801e-07
38,32017,1,0,0,5.840047379024327e-07
39,24761,1,1,1,1.1250012903474271e-06
40,106704,1,1,1,1.2079981388524175e-06
41,49361,1,1,1,1.0000003385357559e-06
42,231,1,1,1,1.0830044629983604e-06
43,41207,1,1,1,1.0000003385357559e-06
44,24835,1,1,1,9.170034900307655e-07
45,663,1,0,0,5.00003807246685e-07
46,8462,1,1,1,1.8749997252598405e-06
47,131343,1,1,1,8.749993867240846e-07
48,57990,1,0,0,4.999965312890708e-07
49,277,1,1,1,7.500057108700275e-07
50,98588,1,1,1,7.920025382190943e-07
51,90413,1,1,1,1.0410003596916795e-06
52,303,1,1,1,1.0419971658848226e-06
53,114995,1,1,1,2.2500025806948543e-06
54,321,1,1,1,1.2090022210031748e-06
55,90439,1,1,1,1.1250012903474271e-06
56,115017,1,1,1,8.749993867240846e-07
57,335,1,1,1,9.169962140731514e-07
58,131410,1,1,1,8.330025593750179e-07
59,131414,1,1,1,9.590003173798323e-07
60,16727,1,1,1,8.749993867240846e-07
61,119548,1,0,0,4.999965312890708e-07
62,41302,1,1,1,1.0000003385357559e-06
63,82267,1,1,1,7.499984349124134e-07
64,74081,1,1,1,8.749993867240846e-07
65,123235,1,1,1,8.330025593750179e-07
66,90467,1,1,1,7.920025382190943e-07
67,26304,1,0,0,5.420006345957518e-07
68,123240,1,1,1,1.0419971658848226e-06
69,8554,1,1,1,9.159994078800082e-07
70,33131,1,1,1,1.2079981388524175e-06
71,106867,1,1,1,9.590003173798323e-07
72,90486,1,1,1,8.749993867240846e-07
73,82296,1,1,1,7.499984349124134e-07
74,115065,1,1,1,7.080016075633466e-07
75,106886,1,1,1,7.910057320259511e-07
76,41358,1,1,1,9.170034900307655e-07
77,16793,1,1,1,8.330025593750179e-07
78,57773,1,1,1,7.499984349124134e-07
79,20497,1,0,0,4.999965312890708e-07
80,33203,1,1,1,9.999930625781417e-07
81,115125,1,1,1,9.57996235229075e-07
82,131521,1,1,1,7.499984349124134e-07
83,62845,1,0,0,4.999965312890708e-07
84,41419,1,1,1,7.910057320259511e-07
