pos,vertex,degree,p_size,cliques,seconds
0,40263,0,0,1,2.291002601850778e-06
1,23799,0,0,1,4.169996827840805e-07
2,1,1,1,1,8.084003638941795e-06
3,81928,1,1,1,2.3329994291998446e-06
4,11,1,1,1,4.916997568216175e-06
5,24590,1,1,1,2.3329994291998446e-06
6,16412,1,1,1,1.291002263315022e-06
7,29,1,1,1,1.124994014389813e-06
8,32801,1,1,1,2.0000006770715117e-06
9,24639,1,1,1,8.329952834174037e-07
10,57411,1,1,1,1.0410003596916795e-06
11,69,1,1,1,9.159994078800082e-07
12,84929,1,0,0,3.2079988159239292e-06
13,8264,1,1,1,9.57996235229075e-07
14,57422,1,1,1,1.8749997252598405e-06
15,81999,1,1,1,3.415996616240591e-06
16,73808,1,1,1,1.0000003385357559e-06
17,57425,1,1,1,1.4170000213198364e-06
18,73816,1,1,1,8.330025593750179e-07
19,41051,1,1,1,1.0410003596916795e-06
20,49254,1,1,1,1.4999968698248267e-06
21,24682,1,1,1,8.33999365568161e-07
22,33925,1,0,0,5.420006345957518e-07
23,32888,1,1,1,2.1660016500391066e-06
24,32894,1,1,1,1.1669981176964939e-06
25,32896,1,1,1,9.57996235229075e-07
26,65669,1,1,1,9.590003173798323e-07
27,134,1,1,1,7.499984349124134e-07
28,16517,1,1,1,7.499984349124134e-07
29,34629,1,0,0,4.999965312890708e-07
30,65674,1,1,1,7.089984137564898e-07
31,4779,1,0,0,4.999965312890708e-07
32,140,1,1,1,7.089984137564898e-07
33,32908,1,1,1,8.749993867240846e-07
34,82065,1,1,1,1.0419971658848226e-06
35,146,1,1,1,6.249974831007421e-07
36,16544,1,1,1,7.080016075633466e-07
37,8370,1,1,1,9.580035111866891e-07
38,73911,1,1,1,8.749993867240846e-07
39,16219,1,0,0,5.00003807246685e-07
40,73914,1,1,1,9.580035111866891e-07
41,73915,1,1,1,1.624997821636498e-06
42,32955,1,1,1,1.7499987734481692e-06
43,16588,1,1,1,8.329952834174037e-07
44,80302,1,0,0,4.999965312890708e-07
45,16589,1,1,1,7.920025382190943e-07
46,82126,1,1,1,1.7920028767548501e-06
47,73935,1,1,1,8.749993867240846e-07
48,73936,1,1,1,1.5420009731315076e-06
49,24784,1,1,1,9.580035111866891e-07
50,41169,1,1,1,7.499984349124134e-07
51,75641,1,0,0,4.590037860907614e-07
52,82127,1,1,1,1.0000003385357559e-06
53,82125,1,1,1,6.67001586407423e-07
54,52744,1,0,0,4.999965312890708e-07
55,8410,1,1,1,6.249974831007421e-07
56,218,1,1,1,2.1660016500391066e-06
57,228,1,1,1,8.749993867240846e-07
58,33007,1,1,1,9.159994078800082e-07
59,65776,1,1,1,9.57996235229075e-07
60,73969,1,1,1,1.6250050975941122e-06
61,82166,1,1,1,7.499984349124134e-07
62,56373,1,0,0,1.7499987734481692e-06
63,65786,1,1,1,8.749993867240846e-07
64,254,1,1,1,8.33999365568161e-07
65,82175,1,1,1,6.67001586407423e-07
66,38958,1,0,0,4.999965312890708e-07
67,65793,1,1,1,1.8339997041039169e-06
68,65796,1,1,1,9.57996235229075e-07
69,8452,1,1,1,2.0000006770715117e-06
70,49416,1,1,1,6.250047590583563e-07
71,51091,1,0,0,4.169996827840805e-07
72,33033,1,1,1,8.329952834174037e-07
73,8509,1,1,1,6.669943104498088e-07
74,49470,1,1,1,6.249974831007421e-07
75,24910,1,1,1,1.0410003596916795e-06
76,75334,1,0,0,4.590037860907614e-07
77,335,1,1,1,7.089984137564898e-07
78,65875,1,1,1,1.0000003385357559e-06
79,65883,1,1,1,6.67001586407423e-07
80,44493,1,0,0,4.999965312890708e-07
81,350,1,1,1,9.170034900307655e-07
82,351,1,1,1,7.499984349124134e-07
83,69622,1,0,0,5.830006557516754e-07
84,352,1,1,1,1.0829971870407462e-06
85,355,1,1,1,9.580035111866891e-07
86,33124,1,1,1,8.330025593750179e-07
87,65892,1,1,1,7.90998456068337e-07
88,57701,1,1,1,6.67001586407423e-07
89,41322,1,1,1,7.920025382190943e-07
90,366,1,1,1,6.669943104498088e-07
91,8559,1,1,1,8.749993867240846e-07
92,41341,1,1,1,8.749993867240846e-07
93,8573,1,1,1,2.0000006770715117e-06
94,24958,1,1,1,8.330025593750179e-07
95,24957,1,1,1,1.3750031939707696e-06
96,82309,1,1,1,7.499984349124134e-07
97,41349,1,1,1,8.749993867240846e-07
98,402,1,1,1,9.159994078800082e-07
99,33174,1,1,1,1.0000003385357559e-06
100,49563,1,1,1,1.6670019249431789e-06
101,417,1,1,1,6.659975042566657e-07
102,51619,1,0,0,4.590037860907614e-07
103,427,1,1,1,7.500057108700275e-07
104,74320,1,0,0,4.169996827840805e-07
105,25008,1,1,1,7.920025382190943e-07
106,16819,1,1,1,6.669943104498088e-07
107,40359,1,0,0,4.169996827840805e-07
108,33214,1,1,1,7.920025382190943e-07
109,33216,1,1,1,1.0000003385357559e-06
110,33217,1,1,1,8.749993867240846e-07
111,65989,1,1,1,6.669943104498088e-07
112,61446,1,0,0,4.159956006333232e-07
113,65990,1,1,1,8.749993867240846e-07
114,51694,1,0,0,5.00003807246685e-07
115,455,1,1,1,7.080016075633466e-07
116,33224,1,1,1,6.67001586407423e-07
117,65992,1,1,1,7.499984349124134e-07
118,10078,1,0,0,4.579997039400041e-07
119,33226,1,1,1,1.45800004247576e-06
120,33230,1,1,1,9.170034900307655e-07
121,57810,1,1,1,1.4590041246265173e-06
122,66004,1,1,1,8.329952834174037e-07
123,8660,1,1,1,7.920025382190943e-07
124,57814,1,1,1,9.170034900307655e-07
